#,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,판매가,품절여부,후기
879,패커스,과세,0,143220,"사각 225 전자렌지 직화 냄비 1,500ml 200개 1박스",575,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004002 : 한식(분식) 용기 > 도시락용기/직화용기 > 직화용기
041004002 : 양식 용기 > 도시락용기/직화용기 > 직화용기
040004003 : 일식 용기 > 초밥/도시락용기/직화용기 > 직화용기",191700,정상,0
880,패커스,과세,1,120120,"사각 195 전자렌지 직화 냄비 1,000ml 200개 1박스",573,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004002 : 한식(분식) 용기 > 도시락용기/직화용기 > 직화용기
041004002 : 양식 용기 > 도시락용기/직화용기 > 직화용기
040004003 : 일식 용기 > 초밥/도시락용기/직화용기 > 직화용기",161300,정상,0
881,패커스,과세,2,27720,원형 210파이 냄비 뚜껑 200개 1박스,572,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기",40800,정상,0
882,패커스,과세,2,143220,"원형 210파이 전자렌지 직화 냄비 1,450ml 200개 1박스",571,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004002 : 한식(분식) 용기 > 도시락용기/직화용기 > 직화용기
041004002 : 양식 용기 > 도시락용기/직화용기 > 직화용기
040004003 : 일식 용기 > 초밥/도시락용기/직화용기 > 직화용기",192700,정상,6
883,패커스,과세,0,9900,10-13온스 테이크아웃 홀더 디자인20종 랜덤구성 500개 1박스,561,사용함,자체제작,"043 : 베이커리/카페 용기
043002 : 베이커리/카페 용기 > 컵캐리어/컵홀더",25400,정상,2
884,패커스,과세,0,18700,"12 16 20온스 종이컵뚜껑 타공형 일반형 1,000개 1박스",560,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
052 : 초특가 SALE
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",21800,정상,0
885,패커스,과세,0,19800,"12 16 20온스 종이컵뚜껑 개폐형 1,000개 1박스",559,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
052 : 초특가 SALE
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",22900,정상,0
886,패커스,과세,1,17600,"10-13온스 종이컵뚜껑 타공형 일반형 1,000개 1박스",558,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
043003003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑 > 뚜껑
052 : 초특가 SALE
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",20600,정상,5
887,패커스,과세,1,18700,"10-13온스 종이컵뚜껑 개폐형 1,000개 1박스",557,사용함,자체제작,"043 : 베이커리/카페 용기
043003 : 베이커리/카페 용기 > 종이컵/아이스컵/뚜껑
052 : 초특가 SALE
061 : vol.4 Catalogue
061009 : vol.4 Catalogue > 카달로그_9",21800,정상,2
888,패커스,과세,0,6000,소량 PP 실링 2호 주황,526,사용함,자체제작,053 : 소량,9900,정상,0
889,패커스,과세,0,4000,소량 PP 실링 3호 백색,525,사용함,자체제작,053 : 소량,12500,정상,0
890,패커스,과세,0,4000,소량 PP 실링 3호 반투명,524,사용함,자체제작,053 : 소량,7500,정상,0
891,패커스,과세,0,4000,소량 PP 실링 3호 주황,522,사용함,자체제작,053 : 소량,7500,정상,0
892,패커스,과세,0,4000,소량 PP 실링3-5호 노랑,519,사용함,자체제작,053 : 소량,7500,정상,0
893,패커스,과세,0,12500,소량 PP 실링 14호 백색 50개,517,사용함,자체제작,053 : 소량,18600,정상,2
894,패커스,과세,0,16500,소량 PP 실링 15호 백색,516,사용함,자체제작,053 : 소량,23700,정상,0
895,패커스,과세,0,19000,소량 PP 실링 16호 백색,515,사용함,자체제작,053 : 소량,27000,정상,0
896,패커스,과세,2,6000,소량 PP 실링 21-2A 백색,511,사용함,자체제작,053 : 소량,9900,정상,0
897,패커스,과세,0,13200,소량 PP 실링 32호 백색 100개,505,사용함,자체제작,053 : 소량,19800,정상,0
898,패커스,과세,4,48400,"PS 65mm 랩칼 백색,빨강 8,000개 1박스",483,사용함,자체제작,"046 : 주방용품/소모품
015 : 실링필름/랩칼
015003 : 실링필름/랩칼 > 랩칼
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",77000,정상,0
899,패커스,과세,2,33000,"160mm 스포키 검정 1,500개 1박스",482,사용함,자체제작,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009001 : 주방용품/소모품 > 일회용품 > 스푼/포크/나이프",45450,정상,0
900,패커스,과세,9,51150,PP 4칸 사각찬용기 300개 1set(2박스/21164-4칸),481,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004001 : 한식(분식) 용기 > 도시락용기/직화용기 > 도시락용기",69200,정상,9
901,패커스,과세,11,49500,125파이 원형용기 소 250ml 백색 PP 600개 1set(2박스),480,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
061 : vol.4 Catalogue
061008 : vol.4 Catalogue > 카달로그_8",69400,정상,17
902,패커스,과세,7,52800,125파이 원형용기 중 350ml 백색 PP 600개 1set(2박스),479,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
061 : vol.4 Catalogue
061008 : vol.4 Catalogue > 카달로그_8",74620,정상,10
903,패커스,과세,10,56100,125파이 원형용기 대 450ml 백색 PP 600개 1set(2박스),478,사용함,자체제작,"038 : 한식(분식) 용기
038002 : 한식(분식) 용기 > 소스/국/밥용기
039 : 중식 용기
039003 : 중식 용기 > 소스/국/밥용기
040 : 일식 용기
040002 : 일식 용기 > 소스/국/밥용기
041 : 양식 용기
041002 : 양식 용기 > 소스/국/밥용기
061 : vol.4 Catalogue
061008 : vol.4 Catalogue > 카달로그_8",78970,정상,9
904,패커스,과세,78,37400,PP 5칸 도시락용기 200개 1박스(돈까스 도시락/큰 사이즈),455,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004001 : 한식(분식) 용기 > 도시락용기/직화용기 > 도시락용기
039005002 : 중식 용기 > 샐러드/도시락용기 > 도시락용기
040004002 : 일식 용기 > 초밥/도시락용기/직화용기 > 도시락용기
041004001 : 양식 용기 > 도시락용기/직화용기 > 도시락용기
047 : BEST상품
061 : vol.4 Catalogue
061007 : vol.4 Catalogue > 카달로그_7",49700,정상,71
905,패커스,과세,22,52800,PP 8칸 도시락용기 L3 200개 1박스,451,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004001 : 한식(분식) 용기 > 도시락용기/직화용기 > 도시락용기
039005002 : 중식 용기 > 샐러드/도시락용기 > 도시락용기
040004002 : 일식 용기 > 초밥/도시락용기/직화용기 > 도시락용기
041004001 : 양식 용기 > 도시락용기/직화용기 > 도시락용기
061 : vol.4 Catalogue
061007 : vol.4 Catalogue > 카달로그_7",74600,정상,10
906,패커스,과세,10,52800,PP 7칸 도시락용기 L2 200개 1박스,450,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004001 : 한식(분식) 용기 > 도시락용기/직화용기 > 도시락용기
039005002 : 중식 용기 > 샐러드/도시락용기 > 도시락용기
040004002 : 일식 용기 > 초밥/도시락용기/직화용기 > 도시락용기
041004001 : 양식 용기 > 도시락용기/직화용기 > 도시락용기
061 : vol.4 Catalogue
061007 : vol.4 Catalogue > 카달로그_7",74600,정상,11
907,패커스,과세,4,52800,PP 6칸 도시락용기 L1 200개 1박스,449,사용함,자체제작,"038 : 한식(분식) 용기
038004 : 한식(분식) 용기 > 도시락용기/직화용기
039 : 중식 용기
039005 : 중식 용기 > 샐러드/도시락용기
040 : 일식 용기
040004 : 일식 용기 > 초밥/도시락용기/직화용기
041 : 양식 용기
041004 : 양식 용기 > 도시락용기/직화용기
038004001 : 한식(분식) 용기 > 도시락용기/직화용기 > 도시락용기
039005002 : 중식 용기 > 샐러드/도시락용기 > 도시락용기
040004002 : 일식 용기 > 초밥/도시락용기/직화용기 > 도시락용기
041004001 : 양식 용기 > 도시락용기/직화용기 > 도시락용기
061 : vol.4 Catalogue
061007 : vol.4 Catalogue > 카달로그_7",74600,정상,6
