#,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,판매가,품절여부,후기
1,패커스,과세,0,55440,"실링용기 71호 백색 2,200ml 400개 1박스",2184,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",77480,정상,0
2,(주)니드코,과세,0,3080,"니드코]국산제품 정식쟁반,병원식판,분식점 돈까스쟁반 업소용 화이트 항균아트쟁반 5호",2181,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007002 : 주방용품/소모품 > 주방용품 > 쟁반",4950,정상,0
3,(주)니드코,과세,10,1120,"니드코]QueenRose 장미 밥공기그릇 /중국집,주방,식당,가정용 깨지지 않는 단단한 멜라민그릇",2180,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",1800,정상,0
4,(주)니드코,과세,0,5600,니드코 터치미 종이컵디스펜서(자석형) 종이컵보관함,2179,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",9000,정상,0
5,(주)니드코,과세,0,42000,니드코 뉴카멜리아 사각수저함(수저통),2178,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007009 : 주방용품/소모품 > 주방용품 > 기타",65000,정상,0
6,(주)니드코,과세,1,560,니드코 뉴카멜리아 파스텔 프리미엄요지통(이쑤시개포함),2177,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",900,정상,0
7,패커스,과세,0,150000,해농 김밥김 200g x 100매 20개 (박스상품),2176,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",159600,정상,0
8,패커스,과세,0,21000,미소크린 점보롤 140cm x 16롤 (박스상품),2175,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",23000,정상,0
9,패커스,과세,0,22500,미소크린 점보롤 180cm x 16롤 (박스상품),2174,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",24800,정상,0
10,패커스,과세,0,11000,미소크린 위생식탁보 90cm x 130xm 300매 (박스상품),2173,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",12100,정상,0
11,패커스,과세,0,27000,대천맛김 왕가대천 재래전장 20g*3P 12개 (박스상품),2172,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",37500,정상,0
12,패커스,과세,0,21300,대천맛김 왕가대천 파래20단 도시락 4.5g x 20p 5개 (박스상품),2171,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",30000,정상,0
13,패커스,과세,0,21300,대천맛김 왕가대천 재래20단 도시락 4.5g x20p 5개 (박스상품),2170,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",30000,정상,0
14,(주)니드코,과세,0,4200,니드코 뉴카멜리아 사각수저함(수저통),2169,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007009 : 주방용품/소모품 > 주방용품 > 기타",6800,정상,0
15,(주)니드코,과세,0,2620,"니드코]QueenRose 장미 냉면 짬뽕그릇 /중국집,주방,식당,가정용 깨지지 않는 단단한 멜라민그릇",2168,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",4200,정상,0
16,(주)니드코,과세,0,6720,니드코 우드 다용도발판 소형 60x30x2.3 cm /국산,2167,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046008 : 주방용품/소모품 > 생활용품
046008001 : 주방용품/소모품 > 생활용품 > 발판",11000,정상,0
17,(주)니드코,과세,0,1680,주방 업소용 원터치 자동 가스점화기K7,2165,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010002 : 주방용품/소모품 > 주방잡화 > 가스토치/점화기",2700,정상,0
18,(주)니드코,과세,0,16800,주방용 가스버너 스파크 전자라이터 SK1-10개(색상섞임),2164,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010002 : 주방용품/소모품 > 주방잡화 > 가스토치/점화기",25000,정상,0
19,(주)니드코,과세,0,1680,주방용 가스버너 스파크 전자라이터 SK1,2163,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010002 : 주방용품/소모품 > 주방잡화 > 가스토치/점화기",2700,정상,0
20,(주)니드코,과세,0,8960,니드코 우드 다용도발판 중형 63.5x45.7x2.3 cm /국산,2162,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046008 : 주방용품/소모품 > 생활용품
046008001 : 주방용품/소모품 > 생활용품 > 발판",14400,정상,0
21,(주)니드코,과세,0,12320,니드코 우드 다용도발판 대형 78.3x52.7x2.3 cm /국산,2161,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046008 : 주방용품/소모품 > 생활용품
046008001 : 주방용품/소모품 > 생활용품 > 발판",19800,정상,0
22,(주)니드코,과세,0,2000,"니드코]로얄몬드 원형컵(블루) 10개이상시 적용가격 /주방,식당,카페,사무실용 깨지지않는 단단한 멜라민컵",2156,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",3200,정상,0
23,(주)니드코,과세,1,2000,"니드코]로얄몬드 원형컵(베이지) 10개이상시 적용가격 /주방,식당,카페,사무실용 깨지지않는 단단한 멜라민컵",2146,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",3200,정상,0
24,패커스,과세,0,49500,사자표 볶음춘장 2.27kg 6개 (박스상품),2145,사용안함,,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류",59400,정상,0
25,패커스,과세,0,27200,사자표 볶음춘장 10kg 1박스,2144,사용안함,,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류",31900,정상,0
26,패커스,과세,2,26700,사자표 춘장 14kg 1박스,2143,사용안함,,"050 : 식자재
050002 : 식자재 > 중식 식자재
050002002 : 식자재 > 중식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010002 : NEW > 식자재 > 중식 식자재
026010002002 : NEW > 식자재 > 중식 식자재 > 장류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",32000,정상,0
27,패커스,과세,0,10700,포모나 카라멜향시럽 1L 1개 (낱개상품),2142,사용안함,,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류
061024 : vol.4 Catalogue > 카달로그_4",11400,정상,0
28,패커스,과세,0,6000,소량 PP 실링 1호 노랑,2141,사용함,자체제작,053 : 소량,12490,정상,0
29,패커스,과세,0,6000,소량 PP 실링 1호 주황,2140,사용함,자체제작,053 : 소량,12490,정상,0
30,패커스,과세,1,18000,샘표 안동찜닭 양념소스 210g 12개 (박스 상품),2138,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001003 : 식자재 > 한식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001003 : NEW > 식자재 > 한식 식자재 > 소스류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",19000,정상,0
31,패커스,과세,1,17640,샘표 춘천닭갈비소스180g 12개 (박스 상품),2137,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001003 : 식자재 > 한식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001003 : NEW > 식자재 > 한식 식자재 > 소스류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",20500,정상,0
32,패커스,과세,0,33000,샘표중면 900g 15개 (박스 상품),2136,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",34800,정상,0
33,패커스,과세,0,26400,샘표소면 900g 15개 (박스 상품),2135,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",27800,정상,0
34,패커스,과세,0,26550,샘표 진공소면 900g 15개 (박스 상품),2134,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001006 : 식자재 > 한식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001006 : NEW > 식자재 > 한식 식자재 > 면류
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",30800,정상,0
35,패커스,과세,0,14600,천혜식품 제주 섬마을 천사채 1kg 10개 (박스 상품),2133,사용안함,,"050 : 식자재
026 : NEW
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",16500,정상,0
36,패커스,과세,0,30750,샘표 한여름눈꽃 꽃소금 3kg 5개 (박스 상품),2132,사용안함,,"050 : 식자재
026 : NEW",32900,정상,0
37,패커스,과세,0,30750,샘표 한여름눈꽃 굵은소금 3kg 5개 (박스 상품),2131,사용안함,,"050 : 식자재
026 : NEW",32900,정상,0
38,패커스,과세,0,26700,샘표 진간장S 1.8L 6병 (박스 상품),2130,사용안함,,"050 : 식자재
026 : NEW",31000,정상,0
39,패커스,과세,0,35100,샘표 진간장 금S 1.8L 6병 (박스 상품),2129,사용안함,,"050 : 식자재
026 : NEW",37000,정상,0
40,패커스,과세,1,40500,샘표 진간장 금F3 1.8L 6병 (박스 상품),2128,사용안함,,"050 : 식자재
026 : NEW",42700,정상,0
41,패커스,과세,0,74400,샘표 저염간장 930ml 12병 (박스 상품),2127,사용안함,,"050 : 식자재
026 : NEW",82000,정상,0
42,패커스,과세,0,40200,샘표 연두(주황) 500ml 6병 (박스 상품),2126,사용안함,,"050 : 식자재
026 : NEW
061 : vol.4 Catalogue
061021 : vol.4 Catalogue > 카달로그_1",42400,정상,0
43,패커스,과세,0,105600,샘표 연두(순) 930ml 12병 (박스 상품),2125,사용안함,,"050 : 식자재
026 : NEW",118100,정상,0
44,패커스,과세,0,97800,샘표 양조간장701 930ml 12병 (박스 상품),2124,사용안함,,"050 : 식자재
026 : NEW",106700,정상,0
45,패커스,과세,0,20200,샘표 양조간장701 1.8L 2병 (박스 상품),2123,사용안함,,"050 : 식자재
026 : NEW",21300,정상,0
46,패커스,과세,0,78000,샘표 양조간장501(일회용) 10개 (박스 상품),2122,사용안함,,"050 : 식자재
026 : NEW",85900,정상,0
47,패커스,과세,0,69000,샘표 양조간장501 930ml 12병 (박스 상품),2121,사용안함,,"050 : 식자재
026 : NEW",76400,정상,0
48,패커스,과세,0,51000,샘표 양조간장501 1.8L 6병 (박스 상품),2120,사용안함,,"050 : 식자재
026 : NEW",57400,정상,0
49,패커스,과세,0,26760,샘표 맥아물엿(흰) 1.2kg 12병 (박스 상품),2119,사용안함,,"050 : 식자재
026 : NEW",28400,정상,0
50,패커스,과세,0,70500,샘표 맛간장(조림볶음용) 1.8L 6병 (박스 상품),2118,사용안함,,"050 : 식자재
026 : NEW",78000,정상,0
51,패커스,과세,0,52800,샘표 꽁치통조림 400g 24캔 (박스 상품),2117,사용안함,,"050 : 식자재
026 : NEW",65200,정상,0
52,패커스,과세,0,51240,샘표 국간장 930ml 12병 (박스 상품),2116,사용안함,,"050 : 식자재
026 : NEW",57700,정상,0
53,패커스,과세,0,20000,다원 혼합찹쌀가루 300g 25봉 (박스 상품),2115,사용안함,,"050 : 식자재
026 : NEW",21400,정상,0
54,패커스,과세,0,22200,다원 혼합감자전분 500g 20봉 (박스 상품),2114,사용안함,,"050 : 식자재
026 : NEW",23800,정상,0
55,패커스,과세,0,38000,다원 찹쌀가루(국산) 1kg 10봉 (박스 상품),2113,사용안함,,"050 : 식자재
026 : NEW",40000,정상,0
56,패커스,과세,0,27800,다원 볶음콩가루 400g 20봉 (박스 상품),2112,사용안함,,"050 : 식자재
026 : NEW
061 : vol.4 Catalogue
061022 : vol.4 Catalogue > 카달로그_2",29500,정상,0
57,패커스,과세,0,22200,다원 날콩가루 400g 20봉 (박스 상품),2111,사용안함,,"050 : 식자재
026 : NEW",23400,정상,0
58,패커스,과세,0,67680,해울찬 누룽지 284g 36개 (박스 상품),2110,사용안함,,"050 : 식자재
050002 : 식자재 > 중식 식자재
050001 : 식자재 > 한식 식자재",71300,정상,0
59,패커스,과세,0,51000,삼양간장(일회용) 6g*200ea 10개 (박스 상품),2109,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001002 : 식자재 > 한식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001002 : NEW > 식자재 > 한식 식자재 > 장류",57400,정상,0
60,패커스,과세,0,26500,다원 20곡미숫가루 1kg 10개 (박스 상품),2108,사용안함,,"050 : 식자재
026 : NEW
061 : vol.4 Catalogue
061022 : vol.4 Catalogue > 카달로그_2",27900,정상,0
61,패커스,과세,0,47580,젠틀 렐리쉬 피클 3kg 6캔 (박스 상품),2107,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",50100,정상,0
62,패커스,과세,0,25600,부천 몽고진간장 1.8L 8병 (박스 상품),2106,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001002 : 식자재 > 한식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001002 : NEW > 식자재 > 한식 식자재 > 장류",27000,정상,0
63,패커스,과세,0,31440,마산명산 몽고간장 진 1.5L 8병 (박스 상품),2105,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001002 : 식자재 > 한식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001002 : NEW > 식자재 > 한식 식자재 > 장류",36500,정상,0
64,패커스,과세,0,25440,마산명산 몽고백된장 4kg 4팩 (박스 상품),2104,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001002 : 식자재 > 한식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001002 : NEW > 식자재 > 한식 식자재 > 장류",26800,정상,0
65,패커스,과세,0,26000,부천 몽고된장 2kg 8팩 (박스 상품),2103,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001002 : 식자재 > 한식 식자재 > 장류
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001002 : NEW > 식자재 > 한식 식자재 > 장류",27400,정상,0
66,패커스,과세,0,33600,배리프 파인애플 슬라이스 3.05kg 6캔 (박스 상품),2102,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",36500,정상,0
67,패커스,과세,0,36000,델솔 나초 슬라이스 할라피뇨 페퍼스 2.89kg 6캔 (박스 상품),2101,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류",37900,정상,0
68,패커스,과세,0,33600,배리프 파인애플 청크 3.05kg 6캔 (박스 상품),2100,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류
050007 : 식자재 > 태국/베트남 식자재
050007008 : 식자재 > 태국/베트남 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",36500,정상,0
69,패커스,과세,0,46800,헌트 토마토 퓨레 3.03kg 6캔 (박스 상품),2099,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",53000,정상,0
70,패커스,과세,0,32400,엑셀렌시아 슬라이스 블랙 올리브 3kg 6캔 (박스 상품),2098,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",34200,정상,0
71,패커스,과세,0,24600,배리프 베이크드 빈스 2.62kg 6캔 (박스 상품),2097,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",25900,정상,0
72,패커스,과세,0,30000,매놀리토 그린 슬라이스 할라피뇨 2.9kg 6캔 (박스 상품),2096,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",34800,정상,0
73,패커스,과세,0,52800,헌트 칠리소스 3.26kg 6캔 (박스 상품),2095,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",59300,정상,0
74,패커스,과세,0,17400,배리프 홀 필드 토마토 2.55kg 6캔 (박스 상품),2094,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",18600,정상,0
75,패커스,과세,0,52200,헌트 토마토 페이스트 3.15kg 6캔 (박스 상품),2093,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",58700,정상,0
76,패커스,과세,0,37200,헌트 프리미엄 홀 토마토 2.89kg 6캔 (박스 상품),2092,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",39200,정상,0
77,패커스,과세,0,44400,안젤라미아 스파게티소스 2.95kg 6캔 (박스 상품),2091,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",55500,정상,0
78,패커스,과세,0,20600,아리지 푸실리 트리칼러리 500g 20봉지 (박스 상품),2090,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004001 : 식자재 > 양식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004001 : NEW > 식자재 > 양식 식자재 > 면류",25100,정상,0
79,패커스,과세,0,27000,배리프 레드 키드니 빈스 2.55kg 6캔 (박스 상품),2089,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",30200,정상,0
80,패커스,과세,0,49500,안젤라미아 폴리 프리페어드 피자소스 3.01kg 6캔 (박스 상품),2088,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",55900,정상,0
81,패커스,과세,0,26400,헌트 바베큐소스 510g 12병 (박스 상품),2086,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004002 : 식자재 > 양식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004002 : NEW > 식자재 > 양식 식자재 > 소스류",27800,정상,0
82,패커스,과세,0,7400,ADMIRAL 쇠고기향 시즈닝 680g 1개 (낱개 상품),2085,사용안함,,"050 : 식자재
050006 : 식자재 > 향신료
026 : NEW
026010 : NEW > 식자재
026010008 : NEW > 식자재 > 향신료",9700,정상,0
83,패커스,과세,0,6900,ADMIRAL 닭고기향 시즈닝 680g 1개 (낱개 상품),2084,사용안함,,"050 : 식자재
050006 : 식자재 > 향신료
026 : NEW
026010 : NEW > 식자재
026010008 : NEW > 식자재 > 향신료",9000,정상,0
84,패커스,과세,0,11000,버락 스파게티 500g 20개 (박스 상품),2083,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004001 : 식자재 > 양식 식자재 > 면류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004001 : NEW > 식자재 > 양식 식자재 > 면류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",11600,정상,0
85,패커스,과세,0,28080,에이스 베이크드 빈스 420g 24캔 (박스 상품),2082,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",31200,정상,0
86,패커스,과세,0,54480,라이트 리퀴드 스모크 103ml 12병 (박스 상품),2081,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004002 : 식자재 > 양식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004002 : NEW > 식자재 > 양식 식자재 > 소스류",61100,정상,0
87,패커스,과세,0,15600,에이스 스위트 콘 425g 24캔 (박스 상품),2080,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",17400,정상,0
88,패커스,과세,0,0,에이스 크림 콘 425g 24캔 (박스 상품),2079,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재",0,정상,0
89,패커스,과세,0,32400,델리시아스 케이퍼 950g 6병 (박스 상품),2078,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004003 : NEW > 식자재 > 양식 식자재 > 캔류/병류",39400,정상,0
90,패커스,과세,0,31920,와이즈 그린빈스 400g 24캔 (박스 상품),2077,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004003 : 식자재 > 양식 식자재 > 캔류/병류
061 : vol.4 Catalogue
061023 : vol.4 Catalogue > 카달로그_3",33600,정상,0
91,패커스,과세,0,38400,콜긴 리퀴드 스모크 472ml 6병 (박스 상품),2076,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004002 : 식자재 > 양식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004002 : NEW > 식자재 > 양식 식자재 > 소스류",41800,정상,0
92,패커스,과세,0,39000,위시본 이탈리안 드레싱 444ml 12병 (박스 상품),2075,사용안함,,"050 : 식자재
050004 : 식자재 > 양식 식자재
050004002 : 식자재 > 양식 식자재 > 소스류
026 : NEW
026010 : NEW > 식자재
026010004 : NEW > 식자재 > 양식 식자재
026010004002 : NEW > 식자재 > 양식 식자재 > 소스류",41100,정상,0
