,날짜,PM10,PM2.5,오존,이산화질소,일산화탄소,아황산가스,year,month,day,time,min,datetime
0,2019-01-01 01:00:00,39,24,0.003,0.054,0.7,0.003,2019,01,01,01,00,2019-01-01 01:00:00
1,2019-01-01 02:00:00,38,27,0.002,0.056,0.8,0.003,2019,01,01,02,00,2019-01-01 02:00:00
2,2019-01-01 03:00:00,42,28,0.002,0.057,0.9,0.003,2019,01,01,03,00,2019-01-01 03:00:00
3,2019-01-01 04:00:00,42,31,0.002,0.054,0.8,0.003,2019,01,01,04,00,2019-01-01 04:00:00
4,2019-01-01 05:00:00,49,33,0.002,0.048,0.8,0.003,2019,01,01,05,00,2019-01-01 05:00:00
5,2019-01-01 06:00:00,47,32,0.002,0.048,0.8,0.003,2019,01,01,06,00,2019-01-01 06:00:00
6,2019-01-01 07:00:00,48,30,0.006,0.040,0.7,0.003,2019,01,01,07,00,2019-01-01 07:00:00
7,2019-01-01 08:00:00,33,24,0.014,0.032,0.5,0.003,2019,01,01,08,00,2019-01-01 08:00:00
8,2019-01-01 09:00:00,36,22,0.004,0.049,0.8,0.003,2019,01,01,09,00,2019-01-01 09:00:00
9,2019-01-01 10:00:00,35,25,0.016,0.031,0.6,0.003,2019,01,01,10,00,2019-01-01 10:00:00
10,2019-01-01 11:00:00,34,23,0.031,0.016,0.5,0.004,2019,01,01,11,00,2019-01-01 11:00:00
11,2019-01-01 12:00:00,30,22,0.034,0.014,0.5,0.004,2019,01,01,12,00,2019-01-01 12:00:00
12,2019-01-01 13:00:00,35,24,0.028,0.020,0.5,0.004,2019,01,01,13,00,2019-01-01 13:00:00
13,2019-01-01 14:00:00,40,30,0.031,0.016,0.5,0.004,2019,01,01,14,00,2019-01-01 14:00:00
14,2019-01-01 15:00:00,44,30,0.037,0.014,0.4,0.003,2019,01,01,15,00,2019-01-01 15:00:00
15,2019-01-01 16:00:00,35,25,0.039,0.013,0.4,0.003,2019,01,01,16,00,2019-01-01 16:00:00
16,2019-01-01 17:00:00,35,25,0.036,0.017,0.4,0.003,2019,01,01,17,00,2019-01-01 17:00:00
17,2019-01-01 18:00:00,32,23,0.031,0.021,0.4,0.003,2019,01,01,18,00,2019-01-01 18:00:00
18,2019-01-01 19:00:00,32,21,0.024,0.027,0.4,0.004,2019,01,01,19,00,2019-01-01 19:00:00
19,2019-01-01 20:00:00,31,21,0.022,0.026,0.4,0.003,2019,01,01,20,00,2019-01-01 20:00:00
20,2019-01-01 21:00:00,32,20,0.029,0.019,0.4,0.003,2019,01,01,21,00,2019-01-01 21:00:00
21,2019-01-01 22:00:00,26,16,0.030,0.017,0.4,0.003,2019,01,01,22,00,2019-01-01 22:00:00
22,2019-01-01 23:00:00,25,17,0.031,0.016,0.4,0.003,2019,01,01,23,00,2019-01-01 23:00:00
23,2019-01-02 00:00:00,23,16,0.029,0.018,0.4,0.003,2019,01,01,00,00,2019-01-01 00:00:00
24,2019-01-02 01:00:00,24,15,0.024,0.023,0.5,0.004,2019,01,02,01,00,2019-01-02 01:00:00
25,2019-01-02 02:00:00,24,17,0.023,0.023,0.5,0.003,2019,01,02,02,00,2019-01-02 02:00:00
26,2019-01-02 03:00:00,25,17,0.016,0.030,0.5,0.003,2019,01,02,03,00,2019-01-02 03:00:00
27,2019-01-02 04:00:00,25,18,0.011,0.033,0.6,0.003,2019,01,02,04,00,2019-01-02 04:00:00
28,2019-01-02 05:00:00,26,19,0.012,0.034,0.5,0.003,2019,01,02,05,00,2019-01-02 05:00:00
29,2019-01-02 06:00:00,25,17,0.013,0.033,0.5,0.003,2019,01,02,06,00,2019-01-02 06:00:00
30,2019-01-02 07:00:00,27,20,0.003,0.050,0.6,0.003,2019,01,02,07,00,2019-01-02 07:00:00
31,2019-01-02 08:00:00,28,19,0.002,0.052,0.7,0.003,2019,01,02,08,00,2019-01-02 08:00:00
