,날짜,PM10,PM2.5,오존,이산화질소,일산화탄소,아황산가스,year,month,day,time,min,datetime
0,2020-01-01 01:00:00,24,19,0.002,0.036,0.5,0.003,2020,01,01,01,00,2020-01-01 01:00:00
1,2020-01-01 02:00:00,25,21,0.001,0.039,0.6,0.003,2020,01,01,02,00,2020-01-01 02:00:00
2,2020-01-01 03:00:00,29,23,0.001,0.037,0.9,0.003,2020,01,01,03,00,2020-01-01 03:00:00
3,2020-01-01 04:00:00,26,22,0.001,0.036,0.6,0.002,2020,01,01,04,00,2020-01-01 04:00:00
4,2020-01-01 05:00:00,25,19,0.001,0.035,0.6,0.002,2020,01,01,05,00,2020-01-01 05:00:00
5,2020-01-01 06:00:00,23,19,0.001,0.037,0.5,0.002,2020,01,01,06,00,2020-01-01 06:00:00
6,2020-01-01 07:00:00,25,18,0.001,0.036,0.5,0.003,2020,01,01,07,00,2020-01-01 07:00:00
7,2020-01-01 08:00:00,26,21,0.001,0.035,0.7,0.003,2020,01,01,08,00,2020-01-01 08:00:00
8,2020-01-01 09:00:00,31,24,0.002,0.036,0.6,0.003,2020,01,01,09,00,2020-01-01 09:00:00
9,2020-01-01 10:00:00,31,23,0.003,0.036,0.6,0.002,2020,01,01,10,00,2020-01-01 10:00:00
10,2020-01-01 11:00:00,34,27,0.004,0.033,0.6,0.003,2020,01,01,11,00,2020-01-01 11:00:00
11,2020-01-01 12:00:00,33,28,0.005,0.033,0.7,0.003,2020,01,01,12,00,2020-01-01 12:00:00
12,2020-01-01 13:00:00,42,34,0.007,0.033,0.7,0.003,2020,01,01,13,00,2020-01-01 13:00:00
13,2020-01-01 14:00:00,40,34,0.006,0.032,0.7,0.003,2020,01,01,14,00,2020-01-01 14:00:00
14,2020-01-01 15:00:00,43,38,0.006,0.035,0.6,0.003,2020,01,01,15,00,2020-01-01 15:00:00
15,2020-01-01 16:00:00,41,35,0.006,0.034,0.6,0.003,2020,01,01,16,00,2020-01-01 16:00:00
16,2020-01-01 17:00:00,40,36,0.003,0.037,0.7,0.003,2020,01,01,17,00,2020-01-01 17:00:00
17,2020-01-01 18:00:00,40,34,0.002,0.040,0.6,0.003,2020,01,01,18,00,2020-01-01 18:00:00
18,2020-01-01 19:00:00,40,32,0.002,0.042,0.6,0.003,2020,01,01,19,00,2020-01-01 19:00:00
19,2020-01-01 20:00:00,42,35,0.001,0.042,0.6,0.003,2020,01,01,20,00,2020-01-01 20:00:00
20,2020-01-01 21:00:00,45,39,0.002,0.044,0.8,0.003,2020,01,01,21,00,2020-01-01 21:00:00
21,2020-01-01 22:00:00,48,39,0.002,0.044,0.9,0.004,2020,01,01,22,00,2020-01-01 22:00:00
22,2020-01-01 23:00:00,47,40,0.002,0.043,0.8,0.003,2020,01,01,23,00,2020-01-01 23:00:00
23,2020-01-02 00:00:00,48,37,0.002,0.043,0.9,0.004,2020,01,01,00,00,2020-01-01 00:00:00
24,2020-01-02 01:00:00,47,39,0.001,0.042,0.8,0.003,2020,01,02,01,00,2020-01-02 01:00:00
25,2020-01-02 02:00:00,45,39,0.001,0.040,0.8,0.003,2020,01,02,02,00,2020-01-02 02:00:00
26,2020-01-02 03:00:00,43,38,0.002,0.038,0.7,0.003,2020,01,02,03,00,2020-01-02 03:00:00
27,2020-01-02 04:00:00,42,37,0.002,0.038,0.7,0.003,2020,01,02,04,00,2020-01-02 04:00:00
28,2020-01-02 05:00:00,45,35,0.003,0.032,0.6,0.003,2020,01,02,05,00,2020-01-02 05:00:00
29,2020-01-02 06:00:00,43,34,0.002,0.036,0.6,0.003,2020,01,02,06,00,2020-01-02 06:00:00
30,2020-01-02 07:00:00,44,36,0.002,0.040,0.7,0.003,2020,01,02,07,00,2020-01-02 07:00:00
31,2020-01-02 08:00:00,48,38,0.002,0.042,0.9,0.004,2020,01,02,08,00,2020-01-02 08:00:00
32,2020-01-02 09:00:00,48,40,0.001,0.043,0.9,0.004,2020,01,02,09,00,2020-01-02 09:00:00
33,2020-01-02 10:00:00,53,42,0.002,0.046,1.1,0.004,2020,01,02,10,00,2020-01-02 10:00:00
34,2020-01-02 11:00:00,58,47,0.002,0.048,1.1,0.004,2020,01,02,11,00,2020-01-02 11:00:00
35,2020-01-02 12:00:00,64,51,0.003,0.051,1.1,0.005,2020,01,02,12,00,2020-01-02 12:00:00
36,2020-01-02 13:00:00,66,58,0.004,0.046,1.0,0.004,2020,01,02,13,00,2020-01-02 13:00:00
37,2020-01-02 14:00:00,66,54,0.004,0.042,0.7,0.004,2020,01,02,14,00,2020-01-02 14:00:00
38,2020-01-02 15:00:00,63,52,0.007,0.036,0.6,0.004,2020,01,02,15,00,2020-01-02 15:00:00
39,2020-01-02 16:00:00,65,52,0.005,0.039,0.6,0.004,2020,01,02,16,00,2020-01-02 16:00:00
40,2020-01-02 17:00:00,73,58,0.004,0.039,0.6,0.004,2020,01,02,17,00,2020-01-02 17:00:00
41,2020-01-02 18:00:00,71,57,0.003,0.040,0.6,0.004,2020,01,02,18,00,2020-01-02 18:00:00
42,2020-01-02 19:00:00,71,56,0.008,0.034,0.6,0.004,2020,01,02,19,00,2020-01-02 19:00:00
43,2020-01-02 20:00:00,68,55,0.003,0.042,0.7,0.004,2020,01,02,20,00,2020-01-02 20:00:00
44,2020-01-02 21:00:00,73,58,0.002,0.042,0.8,0.004,2020,01,02,21,00,2020-01-02 21:00:00
45,2020-01-02 22:00:00,71,59,0.002,0.044,0.9,0.004,2020,01,02,22,00,2020-01-02 22:00:00
46,2020-01-02 23:00:00,74,61,0.001,0.046,0.9,0.003,2020,01,02,23,00,2020-01-02 23:00:00
